№,Имя,Род,Текст,Ссылка
47,Жорж Пир,Муж,"За помощь беженцам.
Роль: руководитель организации по оказанию помощи беженцам «l’Europe du Coeur au Service du Monde», глава ордена доминиканцев.","https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80,_%D0%96%D0%BE%D1%80%D0%B6"
48,Филип Ноэль-Бейкер,Муж,"Как крупнейший специалист по разоружению.
Роль: сторонник международного мира и сотрудничества, член парламента Великобритании.","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%8D%D0%BB%D1%8C-%D0%91%D0%B5%D0%B9%D0%BA%D0%B5%D1%80,_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF"
49,Альберт Лутули,Муж,"За усилия по утверждению справедливости между людьми и народами.
Роль: президент Африканского национального конгресса в ЮАР.","https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D1%82%D1%83%D0%BB%D0%B8,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82"
50,Даг Хаммаршёльд,Муж,"За деятельность в ООН.
Роль: генеральный секретарь ООН.","https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BC%D0%BC%D0%B0%D1%80%D1%88%D1%91%D0%BB%D1%8C%D0%B4,_%D0%94%D0%B0%D0%B3"
51,Лайнус Полинг,Муж,Как автор проекта договора о запрещении ядерных испытаний.,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B8%D0%BD%D0%B3,_%D0%9B%D0%B0%D0%B9%D0%BD%D1%83%D1%81"
52,Мартин Лютер Кинг,Муж,"За деятельность в пользу равноправия темнокожих.
Роль: лидер «Южной конференции христианских лидеров».","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BD%D0%B3,_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD_%D0%9B%D1%8E%D1%82%D0%B5%D1%80"
53,Рене Кассен,Муж,"В ознаменование 20-й годовщины принятия Декларации прав человека.
Роль: председатель Европейского суда по правам человека.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%81%D0%B5%D0%BD,_%D0%A0%D0%B5%D0%BD%D0%B5"
54,Норман Борлоуг,Муж,"За вклад в решение продовольственной проблемы, и особенно за осуществление «зелёной революции».
Роль: участник Международного центра улучшения кукурузы и пшеницы.","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%BB%D0%BE%D1%83%D0%B3,_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D0%BD_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82"
55,Вилли Брандт,Муж,"В знак признания конкретных инициатив, повлёкших ослабление напряжённости между Востоком и Западом.
Роль: канцлер ФРГ.","https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D0%BD%D0%B4%D1%82,_%D0%92%D0%B8%D0%BB%D0%BB%D0%B8"
56,Генри Киссинджер,Муж,"В знак признания заслуг в связи с перемирием во Вьетнаме.
Роль: государственный секретарь США.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%81%D1%81%D0%B8%D0%BD%D0%B4%D0%B6%D0%B5%D1%80,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8"
57,Ле Дык Тхо,Муж,В знак признания заслуг в связи с перемирием во Вьетнаме.,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5_%D0%94%D1%8B%D0%BA_%D0%A2%D1%85%D0%BE
58,Шон Макбрайд,Муж,"За создание международных механизмов наблюдения за состоянием прав человека.
Роль: председатель комиссии по Намибии ООН, президент Международного бюро мира.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B1%D1%80%D0%B0%D0%B9%D0%B4,_%D0%A8%D0%BE%D0%BD"
59,Эйсаку Сато,Муж,"За политику антимилитаризма.
Роль: премьер-министр Японии.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%82%D0%BE,_%D0%AD%D0%B9%D1%81%D0%B0%D0%BA%D1%83"
60,Андрей Сахаров,Муж,"За бесстрашную поддержку фундаментальных принципов мира между людьми и мужественную борьбу со злоупотреблением властью и любыми формами подавления человеческого достоинства.
Роль: советский физик-ядерщик.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
61,Бетти Уильямс,Жен,"В знак признания заслуг в деле мира.
Роль: основательницы движения за мир в Северной Ирландии.","https://ru.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC%D1%81,_%D0%91%D0%B5%D1%82%D1%82%D0%B8"
62,Мейрид Корриган,Жен,"В знак признания заслуг в деле мира.
Роль: основательницы движения за мир в Северной Ирландии.","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%80%D0%B8%D0%B3%D0%B0%D0%BD,_%D0%9C%D0%B5%D0%B9%D1%80%D0%B8%D0%B4"
63,Анвар Садат,Муж,"За подготовку и заключение основополагающих соглашений между Израилем и Египтом.
Роль: президент Египта.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%B0%D1%82,_%D0%90%D0%BD%D0%B2%D0%B0%D1%80"
64,Менахем Бегин,Муж,"За подготовку и заключение основополагающих соглашений между Израилем и Египтом.
Роль: премьер-министр Израиля.","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B3%D0%B8%D0%BD,_%D0%9C%D0%B5%D0%BD%D0%B0%D1%85%D0%B5%D0%BC"
65,Мать Тереза,Жен,"Утверждает мир в самой важной сфере, защищая неприкосновенность человеческого достоинства.
Роль: основатель организации «Сёстры — миссионерки любви».",https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_%D0%A2%D0%B5%D1%80%D0%B5%D0%B7%D0%B0
66,Адольфо Эскивель,Муж,"Как борец за права человека.
Роль: лидер в области прав человека, скульптор, архитектор.","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D1%81_%D0%AD%D1%81%D0%BA%D0%B8%D0%B2%D0%B5%D0%BB%D1%8C,_%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%D0%BE"
67,Альва Мюрдаль,Жен,"За крупный вклад в дело разоружения.
Роль: писатель, дипломат, член кабинета министров.","https://ru.wikipedia.org/wiki/%D0%9C%D1%8E%D1%80%D0%B4%D0%B0%D0%BB%D1%8C,_%D0%90%D0%BB%D1%8C%D0%B2%D0%B0"
68,Альфонсо Роблес,Муж,"За крупный вклад в дело разоружения.
Роль: министр иностранных дел, делегат Генеральной Ассамблеи Организации Объединённых Наций по разоружению, дипломат.","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%81%D0%B8%D1%8F_%D0%A0%D0%BE%D0%B1%D0%BB%D0%B5%D1%81,_%D0%90%D0%BB%D1%8C%D1%84%D0%BE%D0%BD%D1%81%D0%BE"
