№,Имя,Род,Текст,Ссылка
18,Макс фон Лауэ,Муж,За открытие дифракции рентгеновских лучей на кристаллах,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%83%D1%8D,_%D0%9C%D0%B0%D0%BA%D1%81_%D1%84%D0%BE%D0%BD"
19,Уильям Генри Брэгг,Муж,За заслуги в исследовании структуры кристаллов с помощью рентгеновских лучей,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8D%D0%B3%D0%B3,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_%D0%93%D0%B5%D0%BD%D1%80%D0%B8"
20,Уильям Лоренс Брэгг,Муж,За заслуги в исследовании структуры кристаллов с помощью рентгеновских лучей,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8D%D0%B3%D0%B3,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_%D0%9B%D0%BE%D1%80%D0%B5%D0%BD%D1%81"
21,Чарлз Гловер Баркла,Муж,За открытие характеристического рентгеновского излучения элементов,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BA%D0%BB%D0%B0,_%D0%A7%D0%B0%D1%80%D0%BB%D0%B7_%D0%93%D0%BB%D0%BE%D0%B2%D0%B5%D1%80"
22,Макс Планк,Муж,"В знак признания услуг, которые он оказал развитию физики своим открытием квантов энергии","https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%BD%D0%BA,_%D0%9C%D0%B0%D0%BA%D1%81"
23,Йоханнес Штарк,Муж,За открытие эффекта Доплера в каналовых лучах и расщепления спектральных линий в электрическом поле (эффект Штарка),"https://ru.wikipedia.org/wiki/%D0%A8%D1%82%D0%B0%D1%80%D0%BA,_%D0%99%D0%BE%D1%85%D0%B0%D0%BD%D0%BD%D0%B5%D1%81"
24,Шарль Гийом,Муж,"В знак признания услуг, которые он оказал точным измерениям в физике своим открытием аномалий в сплавах никеля и стали","https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%B9%D0%BE%D0%BC,_%D0%A8%D0%B0%D1%80%D0%BB%D1%8C_%D0%AD%D0%B4%D1%83%D0%B0%D1%80"
25,Альберт Эйнштейн,Муж,За заслуги перед теоретической физикой и особенно за открытие закона фотоэлектрического эффекта,"https://ru.wikipedia.org/wiki/%D0%AD%D0%B9%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82"
26,Нильс Бор,Муж,За заслуги в исследовании строения атомов и испускаемого ими излучения,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80,_%D0%9D%D0%B8%D0%BB%D1%8C%D1%81"
27,Роберт Милликен,Муж,За работы по определению элементарного электрического заряда и по фотоэлектрическому эффекту,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%BB%D0%B8%D0%BA%D0%B5%D0%BD,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%AD%D0%BD%D0%B4%D1%80%D1%8E%D1%81"
28,Манне Сигбан,Муж,За открытия и исследования в области рентгеновской спектроскопии,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B3%D0%B1%D0%B0%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%9C%D0%B0%D0%BD%D0%BD%D0%B5_%D0%93%D0%B5%D0%BE%D1%80%D0%B3"
29,Джеймс Франк,Муж,За открытие законов соударения электрона с атомом,"https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
30,Густав Герц,Муж,За открытие законов соударения электрона с атомом,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D1%86,_%D0%93%D1%83%D1%81%D1%82%D0%B0%D0%B2_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3"
31,Жан Батист Перрен,Муж,За исследования дискретной структуры материи и особенно за открытие седиментационного равновесия,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%80%D0%B5%D0%BD,_%D0%96%D0%B0%D0%BD_%D0%91%D0%B0%D1%82%D0%B8%D1%81%D1%82"
32,Чарлз Вильсон,Муж,За метод визуального обнаружения траекторий электрически заряженных частиц с помощью конденсации пара,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%A7%D0%B0%D1%80%D0%BB%D0%B7_%D0%A2%D0%BE%D0%BC%D1%81%D0%BE%D0%BD_%D0%A0%D0%B8%D1%81"
33,Оуэн Ричардсон,Муж,"За работы, посвящённые термионным явлениям, и особенно за открытие закона, носящего его имя","https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4%D1%81%D0%BE%D0%BD,_%D0%9E%D1%83%D1%8D%D0%BD_%D0%A3%D0%B8%D0%BB%D0%BB%D0%B0%D0%BD%D1%81"
34,Луи де Бройль,Муж,За открытие волновой природы электронов (Корпускулярно-волновой дуализм),"https://ru.wikipedia.org/wiki/%D0%94%D0%B5_%D0%91%D1%80%D0%BE%D0%B9%D0%BB%D1%8C,_%D0%9B%D1%83%D0%B8"
35,Чандрасекхара Венката Раман,Муж,"За работы по рассеянию света и за открытие эффекта, названного в его честь",https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B5%D0%BA%D1%85%D0%B0%D1%80%D0%B0_%D0%92%D0%B5%D0%BD%D0%BA%D0%B0%D1%82%D0%B0_%D0%A0%D0%B0%D0%BC%D0%B0%D0%BD
36,Вернер Гейзенберг,Муж,"За создание квантовой механики, применение которой привело, помимо прочего, к открытию аллотропических форм водорода","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B9%D0%B7%D0%B5%D0%BD%D0%B1%D0%B5%D1%80%D0%B3,_%D0%92%D0%B5%D1%80%D0%BD%D0%B5%D1%80"
37,Эрвин Шрёдингер,Муж,За открытие новых продуктивных форм атомной теории,"https://ru.wikipedia.org/wiki/%D0%A8%D1%80%D1%91%D0%B4%D0%B8%D0%BD%D0%B3%D0%B5%D1%80,_%D0%AD%D1%80%D0%B2%D0%B8%D0%BD"
38,Поль Дирак,Муж,За открытие новых продуктивных форм атомной теории,"https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D1%80%D0%B0%D0%BA,_%D0%9F%D0%BE%D0%BB%D1%8C_%D0%90%D0%B4%D1%80%D0%B8%D0%B5%D0%BD_%D0%9C%D0%BE%D1%80%D0%B8%D1%81"
39,Джеймс Чедвик,Муж,За открытие нейтрона,"https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%B4%D0%B2%D0%B8%D0%BA,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
40,Виктор Гесс,Муж,За открытие космических лучей,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%81%D1%81,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%A4%D1%80%D0%B0%D0%BD%D1%86"
41,Карл Андерсон,Муж,За открытие позитрона,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%94%D0%B5%D0%B9%D0%B2%D0%B8%D0%B4"
42,Клинтон Дэвиссон,Муж,За экспериментальное открытие дифракции электронов на кристаллах (Корпускулярно-волновой дуализм),"https://ru.wikipedia.org/wiki/%D0%94%D1%8D%D0%B2%D0%B8%D1%81%D1%81%D0%BE%D0%BD,_%D0%9A%D0%BB%D0%B8%D0%BD%D1%82%D0%BE%D0%BD_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84"
43,Джордж Томсон,Муж,За экспериментальное открытие дифракции электронов на кристаллах (Корпускулярно-волновой дуализм),"https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D1%81%D0%BE%D0%BD,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6_%D0%9F%D0%B0%D0%B4%D0%B6%D0%B5%D1%82"
44,Энрико Ферми,Муж,"За доказательство существования новых радиоактивных элементов, полученных при облучении нейтронами, и связанное с этим открытие ядерных реакций, вызываемых медленными нейтронами","https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D1%80%D0%BC%D0%B8,_%D0%AD%D0%BD%D1%80%D0%B8%D0%BA%D0%BE"
45,Эрнест Лоуренс,Муж,"За изобретение и усовершенствование циклотрона и за полученные с его помощью результаты, особенно в отношении искусственных радиоактивных элементов","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%83%D1%80%D0%B5%D0%BD%D1%81,_%D0%AD%D1%80%D0%BD%D0%B5%D1%81%D1%82_%D0%9E%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D0%BE"
46,Отто Штерн,Муж,За вклад в развитие метода молекулярных пучков и за открытие магнитного момента протона,"https://ru.wikipedia.org/wiki/%D0%A8%D1%82%D0%B5%D1%80%D0%BD,_%D0%9E%D1%82%D1%82%D0%BE"
47,Исидор Айзек Раби,Муж,За резонансный метод измерений магнитных свойств атомных ядер,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B1%D0%B8,_%D0%98%D1%81%D0%B8%D0%B4%D0%BE%D1%80_%D0%90%D0%B9%D0%B7%D0%B5%D0%BA"
48,Вольфганг Паули,Муж,"За открытие принципа запрета, названного его именем","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%83%D0%BB%D0%B8,_%D0%92%D0%BE%D0%BB%D1%8C%D1%84%D0%B3%D0%B0%D0%BD%D0%B3"
49,Перси Бриджмен,Муж,"За изобретение аппаратуры, позволяющей создавать сверхвысокие давления, и за открытия, сделанные в связи с этим в физике высоких давлений","https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D0%B4%D0%B6%D0%BC%D0%B5%D0%BD,_%D0%9F%D0%B5%D1%80%D1%81%D0%B8_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC%D1%81"
50,Эдуард Эплтон,Муж,"За исследования физики верхних слоев атмосферы, в особенности за открытие так называемого слоя Эплтона","https://ru.wikipedia.org/wiki/%D0%AD%D0%BF%D0%BB%D1%82%D0%BE%D0%BD,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80"
51,Патрик Блэкетт,Муж,За усовершенствование метода камеры Вильсона и сделанные в связи с этим открытия в области ядерной физики и физики космического излучения,"https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D1%8D%D0%BA%D0%B5%D1%82%D1%82,_%D0%9F%D0%B0%D1%82%D1%80%D0%B8%D0%BA_%D0%9C%D0%B5%D0%B9%D0%BD%D0%B0%D1%80%D0%B4_%D0%A1%D1%82%D1%8E%D0%B0%D1%80%D1%82"
52,Хидэки Юкава,Муж,За предсказание существования мезонов на основе теоретической работы по ядерным силам (потенциал Юкавы),"https://ru.wikipedia.org/wiki/%D0%AE%D0%BA%D0%B0%D0%B2%D0%B0,_%D0%A5%D0%B8%D0%B4%D1%8D%D0%BA%D0%B8"
