№,Имя,Род,Текст,Ссылка
75,Рудольф Мёссбауэр,Муж,"За исследования резонансного поглощения гамма-излучения и открытие в связи с этим эффекта, носящего его имя","https://ru.wikipedia.org/wiki/%D0%9C%D1%91%D1%81%D1%81%D0%B1%D0%B0%D1%83%D1%8D%D1%80,_%D0%A0%D1%83%D0%B4%D0%BE%D0%BB%D1%8C%D1%84_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3"
76,Лев Ландау,Муж,"За новаторские теории конденсированных сред, в особенности жидкого гелия","https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BD%D0%B4%D0%B0%D1%83,_%D0%9B%D0%B5%D0%B2_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
77,Юджин Вигнер,Муж,"За вклад в теорию атомного ядра и элементарных частиц, особенно с помощью открытия и применения фундаментальных принципов симметрии","https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%B3%D0%BD%D0%B5%D1%80,_%D0%AE%D0%B4%D0%B6%D0%B8%D0%BD"
78,Мария Гёпперт-Майер,Жен,"За открытия, касающиеся оболочечной структуры ядра","https://ru.wikipedia.org/wiki/%D0%93%D1%91%D0%BF%D0%BF%D0%B5%D1%80%D1%82-%D0%9C%D0%B0%D0%B9%D0%B5%D1%80,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F"
79,Ханс Йенсен,Муж,"За открытия, касающиеся оболочечной структуры ядра","https://ru.wikipedia.org/wiki/%D0%99%D0%B5%D0%BD%D1%81%D0%B5%D0%BD,_%D0%A5%D0%B0%D0%BD%D1%81"
80,Чарлз Хард Таунс,Муж,"За фундаментальные работы в области квантовой электроники, которые привели к созданию генераторов и усилителей на лазерно-мазерном принципе","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%83%D0%BD%D1%81,_%D0%A7%D0%B0%D1%80%D0%BB%D0%B7_%D0%A5%D0%B0%D1%80%D0%B4"
81,Николай Басов,Муж,"За фундаментальные работы в области квантовой электроники, которые привели к созданию генераторов и усилителей на лазерно-мазерном принципе","https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
82,Александр Прохоров,Муж,"За фундаментальные работы в области квантовой электроники, которые привели к созданию генераторов и усилителей на лазерно-мазерном принципе","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%85%D0%BE%D1%80%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%85%D0%BE%D1%80%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
83,Синъитиро Томонага,Муж,"За фундаментальные работы по квантовой электродинамике, имевшие глубокие последствия для физики элементарных частиц","https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D0%BE%D0%BD%D0%B0%D0%B3%D0%B0,_%D0%A1%D0%B8%D0%BD%D1%8A%D0%B8%D1%82%D0%B8%D1%80%D0%BE"
84,Джулиан Швингер,Муж,"За фундаментальные работы по квантовой электродинамике, имевшие глубокие последствия для физики элементарных частиц","https://ru.wikipedia.org/wiki/%D0%A8%D0%B2%D0%B8%D0%BD%D0%B3%D0%B5%D1%80,_%D0%94%D0%B6%D1%83%D0%BB%D0%B8%D0%B0%D0%BD"
85,Ричард Фейнман,Муж,"За фундаментальные работы по квантовой электродинамике, имевшие глубокие последствия для физики элементарных частиц","https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B9%D0%BD%D0%BC%D0%B0%D0%BD,_%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4_%D0%A4%D0%B8%D0%BB%D0%BB%D0%B8%D0%BF%D1%81"
86,Альфред Кастлер,Муж,За открытие и разработку оптических методов исследования резонансов Герца в атомах,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%82%D0%BB%D0%B5%D1%80,_%D0%90%D0%BB%D1%8C%D1%84%D1%80%D0%B5%D0%B4"
87,Ханс Альбрехт Бете,Муж,"За вклад в теорию ядерных реакций, особенно за открытия, касающиеся источников энергии звёзд","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%82%D0%B5,_%D0%A5%D0%B0%D0%BD%D1%81"
88,Луис Уолтер Альварес,Муж,"За решающий вклад в физику элементарных частиц, в частности за открытие большого числа резонансов, что стало возможным благодаря разработанной им методике использования водородной пузырьковой камеры и обработке данных","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B2%D0%B0%D1%80%D0%B5%D1%81,_%D0%9B%D1%83%D0%B8%D1%81"
89,Мюррей Гелл-Манн,Муж,"За открытия, связанные с классификацией элементарных частиц и их взаимодействий (Восьмеричный путь)","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BB%D0%BB-%D0%9C%D0%B0%D0%BD%D0%BD,_%D0%9C%D1%8E%D1%80%D1%80%D0%B5%D0%B9"
90,Ханнес Альвен,Муж,За фундаментальные работы и открытия в магнитной гидродинамике и плодотворные приложения их в различных областях физики плазмы,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B2%D0%B5%D0%BD,_%D0%A5%D0%B0%D0%BD%D0%BD%D0%B5%D1%81"
91,Луи Эжен Неель,Муж,"За фундаментальные труды и открытия, которые касаются антиферромагнетизма и ферромагнетизма и которые повлекли за собой важные приложения в области физики твёрдого тела","https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%8D%D0%BB%D1%8C,_%D0%9B%D1%83%D0%B8_%D0%AD%D0%B6%D0%B5%D0%BD_%D0%A4%D0%B5%D0%BB%D0%B8%D0%BA%D1%81"
92,Денеш Габор,Муж,За изобретение и усовершенствование голографического метода,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%BE%D1%80,_%D0%94%D0%B5%D0%BD%D0%B5%D1%88"
93,Леон Нил Купер,Муж,"За создание теории сверхпроводимости, обычно называемой БКШ-теорией","https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BF%D0%B5%D1%80,_%D0%9B%D0%B5%D0%BE%D0%BD"
94,Джон Шриффер,Муж,"За создание теории сверхпроводимости, обычно называемой БКШ-теорией","https://ru.wikipedia.org/wiki/%D0%A8%D1%80%D0%B8%D1%84%D1%84%D0%B5%D1%80,_%D0%94%D0%B6%D0%BE%D0%BD_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82"
95,Брайан Джозефсон,Муж,"За теоретическое предсказание свойств тока сверхпроводимости, проходящего через туннельный барьер, в частности явлений, обычно называемых эффектом Джозефсона","https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84%D1%81%D0%BE%D0%BD,_%D0%91%D1%80%D0%B0%D0%B9%D0%B0%D0%BD_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
96,Лео Эсаки,Муж,За экспериментальные открытия туннельных явлений в полупроводниках и сверхпроводниках соответственно,"https://ru.wikipedia.org/wiki/%D0%AD%D1%81%D0%B0%D0%BA%D0%B8,_%D0%9B%D0%B5%D0%BE"
97,Айвар Джайевер,Муж,За экспериментальные открытия туннельных явлений в полупроводниках и сверхпроводниках соответственно,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B0%D0%B9%D0%B5%D0%B2%D0%B5%D1%80,_%D0%90%D0%B9%D0%B2%D0%B0%D1%80"
98,Мартин Райл,Муж,"За результаты научных наблюдений и изобретения, в частности метода апертурного синтеза","https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D0%BB,_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD"
99,Энтони Хьюиш,Муж,За его определяющую роль в открытии пульсаров,"https://ru.wikipedia.org/wiki/%D0%A5%D1%8C%D1%8E%D0%B8%D1%88,_%D0%AD%D0%BD%D1%82%D0%BE%D0%BD%D0%B8"
100,Оге Нильс Бор,Муж,"За открытие взаимосвязи между коллективным движением и движением отдельной частицы в атомном ядре и развитие теории строения атомного ядра, основанной на этой взаимосвязи","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80,_%D0%9E%D0%B3%D0%B5_%D0%9D%D0%B8%D0%BB%D1%8C%D1%81"
101,Бен Рой Моттельсон,Муж,"За открытие взаимосвязи между коллективным движением и движением отдельной частицы в атомном ядре и развитие теории строения атомного ядра, основанной на этой взаимосвязи","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%82%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%91%D0%B5%D0%BD_%D0%A0%D0%BE%D0%B9"
102,Лео Джеймс Рейнуотер,Муж,"За открытие взаимосвязи между коллективным движением и движением отдельной частицы в атомном ядре и развитие теории строения атомного ядра, основанной на этой взаимосвязи","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D0%BD%D1%83%D0%BE%D1%82%D0%B5%D1%80,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
103,Бертон Рихтер,Муж,За основополагающий вклад в открытие тяжелой элементарной частицы нового типа (J/ψ-мезон),"https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D1%85%D1%82%D0%B5%D1%80,_%D0%91%D0%B5%D1%80%D1%82%D0%BE%D0%BD"
104,Сэмюэл Тинг,Муж,За основополагающий вклад в открытие тяжелой элементарной частицы нового типа (J/ψ-мезон),"https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BD%D0%B3,_%D0%A1%D1%8D%D0%BC%D1%8E%D1%8D%D0%BB"
105,Филип Андерсон,Муж,За фундаментальные теоретические исследования электронной структуры магнитных и неупорядоченных систем,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%BE%D0%BD,_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF_%D0%A3%D0%BE%D1%80%D1%80%D0%B5%D0%BD"
106,Невилл Мотт,Муж,За фундаментальные теоретические исследования электронной структуры магнитных и неупорядоченных систем,"https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%82%D1%82,_%D0%9D%D0%B5%D0%B2%D0%B8%D0%BB%D0%BB_%D0%A4%D1%80%D0%B0%D0%BD%D1%81%D0%B8%D1%81"
107,Джон Ван Флек,Муж,За фундаментальные теоретические исследования электронной структуры магнитных и неупорядоченных систем,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BD_%D0%A4%D0%BB%D0%B5%D0%BA,_%D0%94%D0%B6%D0%BE%D0%BD_%D0%A5%D0%B0%D0%B7%D0%B1%D1%80%D1%83%D0%BA"
108,Пётр Капица,Муж,За фундаментальные изобретения и открытия в области физики низких температур,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%86%D0%B0,_%D0%9F%D1%91%D1%82%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
109,Арно Пензиас,Муж,За открытие микроволнового реликтового излучения,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%B7%D0%B8%D0%B0%D1%81,_%D0%90%D1%80%D0%BD%D0%BE_%D0%90%D0%BB%D0%BB%D0%B0%D0%BD"
110,Роберт Вудро Вильсон,Муж,За открытие микроволнового реликтового излучения,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%92%D1%83%D0%B4%D1%80%D0%BE"
111,Шелдон Ли Глэшоу,Муж,"За вклад в объединённую теорию слабых и электромагнитных взаимодействий между элементарными частицами, в том числе предсказание слабых нейтральных токов","https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D1%8D%D1%88%D0%BE%D1%83,_%D0%A8%D0%B5%D0%BB%D0%B4%D0%BE%D0%BD_%D0%9B%D0%B8"
112,Абдус Салам,Муж,"За вклад в объединённую теорию слабых и электромагнитных взаимодействий между элементарными частицами, в том числе предсказание слабых нейтральных токов","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D0%B0%D0%BC,_%D0%90%D0%B1%D0%B4%D1%83%D1%81"
113,Стивен Вайнберг,Муж,"За вклад в объединённую теорию слабых и электромагнитных взаимодействий между элементарными частицами, в том числе предсказание слабых нейтральных токов","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B9%D0%BD%D0%B1%D0%B5%D1%80%D0%B3,_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD"
114,Джеймс Кронин,Муж,За открытие нарушений фундаментальных принципов симметрии в распаде нейтральных K-мезонов (нарушение CP-симметрии),"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BD%D0%B8%D0%BD,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81_%D0%A3%D0%BE%D1%82%D1%81%D0%BE%D0%BD"
115,Вал Логсдон Фитч,Муж,За открытие нарушений фундаментальных принципов симметрии в распаде нейтральных K-мезонов (нарушение CP-симметрии),"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D1%82%D1%87,_%D0%92%D0%B0%D0%BB_%D0%9B%D0%BE%D0%B3%D1%81%D0%B4%D0%BE%D0%BD"
116,Николас Бломберген,Муж,За вклад в развитие лазерной спектроскопии,"https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%BE%D0%BC%D0%B1%D0%B5%D1%80%D0%B3%D0%B5%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%81"
117,Артур Леонард Шавлов,Муж,За вклад в развитие лазерной спектроскопии,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2,_%D0%90%D1%80%D1%82%D1%83%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B0%D1%80%D0%B4"
118,Кай Сигбан,Муж,За вклад в развитие электронной спектроскопии высокого разрешения,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B3%D0%B1%D0%B0%D0%BD,_%D0%9A%D0%B0%D0%B9_%D0%9C%D0%B0%D0%BD%D0%BD%D0%B5_%D0%91%D1%91%D1%80%D1%8C%D0%B5"
119,Кеннет Вильсон,Муж,За теорию критических явлений в связи с фазовыми переходами,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%9A%D0%B5%D0%BD%D0%BD%D0%B5%D1%82"
120,Субраманьян Чандрасекар,Муж,"За теоретические исследования физических процессов, играющих важную роль в строении и эволюции звёзд (Предел Чандрасекара)",https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B1%D1%80%D0%B0%D0%BC%D0%B0%D0%BD%D1%8C%D1%8F%D0%BD_%D0%A7%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B5%D0%BA%D0%B0%D1%80
121,Уильям Фаулер,Муж,"За теоретическое и экспериментальное исследование ядерных реакций, имеющих важное значение для образования химических элементов во Вселенной","https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D1%83%D0%BB%D0%B5%D1%80,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_%D0%90%D0%BB%D1%8C%D1%84%D1%80%D0%B5%D0%B4"
122,Карло Руббиа,Муж,"За решающий вклад в большой проект, осуществление которого привело к открытию квантов поля W и Z — переносчиков слабого взаимодействия","https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%B1%D0%B1%D0%B8%D0%B0,_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE"
123,Симон ван дер Мер,Муж,"За решающий вклад в большой проект, осуществление которого привело к открытию квантов поля W и Z — переносчиков слабого взаимодействия","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80,_%D0%A1%D0%B8%D0%BC%D0%BE%D0%BD_%D0%B2%D0%B0%D0%BD_%D0%B4%D0%B5%D1%80"
124,Клаус фон Клитцинг,Муж,За открытие квантового эффекта Холла,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D1%82%D1%86%D0%B8%D0%BD%D0%B3,_%D0%9A%D0%BB%D0%B0%D1%83%D1%81_%D1%84%D0%BE%D0%BD"
125,Эрнст Руска,Муж,За фундаментальную работу по электронной оптике и за создание первого электронного микроскопа,"https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D0%BA%D0%B0,_%D0%AD%D1%80%D0%BD%D1%81%D1%82_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82"
126,Герд Бинниг,Муж,За изобретение сканирующего туннельного микроскопа,"https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BD%D0%BD%D0%B8%D0%B3,_%D0%93%D0%B5%D1%80%D0%B4_%D0%9A%D0%B0%D1%80%D0%BBhttps://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BD%D0%BD%D0%B8%D0%B3,_%D0%93%D0%B5%D1%80%D0%B4_%D0%9A%D0%B0%D1%80%D0%BB"
127,Генрих Рорер,Муж,За изобретение сканирующего туннельного микроскопа,"https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%80%D0%B5%D1%80,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85"
128,Георг Беднорц,Муж,"За важный прорыв в физике, состоящий в открытии сверхпроводимости в керамических материалах","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B4%D0%BD%D0%BE%D1%80%D1%86,_%D0%99%D0%BE%D1%85%D0%B0%D0%BD%D0%BD%D0%B5%D1%81_%D0%93%D0%B5%D0%BE%D1%80%D0%B3"
129,Карл Мюллер,Муж,"За важный прорыв в физике, состоящий в открытии сверхпроводимости в керамических материалах","https://ru.wikipedia.org/wiki/%D0%9C%D1%8E%D0%BB%D0%BB%D0%B5%D1%80,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80"
130,Леон Ледерман,Муж,За метод нейтринного пучка и доказательство дублетной структуры лептонов посредством открытия мюонного нейтрино,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B4%D0%B5%D1%80%D0%BC%D0%B0%D0%BD,_%D0%9B%D0%B5%D0%BE%D0%BD_%D0%9C%D0%B0%D0%BA%D1%81"
131,Мелвин Шварц,Муж,За метод нейтринного пучка и доказательство дублетной структуры лептонов посредством открытия мюонного нейтрино,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B2%D0%B0%D1%80%D1%86,_%D0%9C%D0%B5%D0%BB%D0%B2%D0%B8%D0%BD"
132,Джек Стейнбергер,Муж,За метод нейтринного пучка и доказательство дублетной структуры лептонов посредством открытия мюонного нейтрино,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%B9%D0%BD%D0%B1%D0%B5%D1%80%D0%B3%D0%B5%D1%80,_%D0%94%D0%B6%D0%B5%D0%BA"
133,Норман Рамзей,Муж,За изобретение метода разнесенных осциллирующих полей и его использование в водородном мазере и других атомных часах,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D0%B7%D0%B5%D0%B9,_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D0%BD_%D0%A4%D0%BE%D1%81%D1%82%D0%B5%D1%80"
134,Ханс Демельт,Муж,За разработку метода удержания одиночных ионов,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D1%82,_%D0%A5%D0%B0%D0%BD%D1%81_%D0%93%D0%B5%D0%BE%D1%80%D0%B3"
135,Джером Фридман,Муж,"За пионерские исследования глубоконеупругого рассеяния электронов на протонах и связанных нейтронах, что имело большое значение для развития кварковой модели в физике частиц","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B8%D0%B4%D0%BC%D0%B0%D0%BD,_%D0%94%D0%B6%D0%B5%D1%80%D0%BE%D0%BC_%D0%90%D0%B9%D0%B7%D0%B5%D0%BA"
136,Генри Кендалл,Муж,"За пионерские исследования глубоконеупругого рассеяния электронов на протонах и связанных нейтронах, что имело большое значение для развития кварковой модели в физике частиц","https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D0%B4%D0%B0%D0%BB%D0%BB,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8_%D0%A3%D1%8D%D0%B9"
137,Ричард Тейлор,Муж,"За пионерские исследования глубоконеупругого рассеяния электронов на протонах и связанных нейтронах, что имело большое значение для развития кварковой модели в физике частиц","https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%B9%D0%BB%D0%BE%D1%80,_%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4_%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4"
138,Пьер Жиль де Жен,Муж,"За обнаружение того, что методы, развитые для изучения явлений упорядоченности в простых системах, могут быть обобщены на более сложные формы материи, в частности жидкие кристаллы и полимеры","https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BD,_%D0%9F%D1%8C%D0%B5%D1%80_%D0%96%D0%B8%D0%BB%D1%8C_%D0%B4%D0%B5"
139,Жорж Шарпак,Муж,"За изобретение и усовершенствование детекторов частиц, в частности многопроволочной пропорциональной камеры","https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D0%BF%D0%B0%D0%BA,_%D0%96%D0%BE%D1%80%D0%B6"
140,Рассел Халс,Муж,"За открытие нового типа пульсаров, давшее новые возможности в изучении гравитации","https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BB%D1%81,_%D0%A0%D0%B0%D1%81%D1%81%D0%B5%D0%BB_%D0%90%D0%BB%D0%B0%D0%BD"
141,Джозеф Тейлор мл.,Муж,"За открытие нового типа пульсаров, давшее новые возможности в изучении гравитации","https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%B9%D0%BB%D0%BE%D1%80,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84_%D0%A5%D0%BE%D1%82%D0%BE%D0%BD"
142,Бертрам Брокхауз,Муж,За создание нейтронной спектроскопии,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%BA%D1%85%D0%B0%D1%83%D0%B7,_%D0%91%D0%B5%D1%80%D1%82%D1%80%D0%B0%D0%BC"
143,Клиффорд Шалл,Муж,За создание метода нейтронной дифракции,"https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BB%D0%BB,_%D0%9A%D0%BB%D0%B8%D1%84%D1%84%D0%BE%D1%80%D0%B4"
144,Мартин Перл,Муж,За открытие тау-лептона,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BB,_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD_%D0%9B%D1%8C%D1%8E%D0%B8%D1%81"
145,Фредерик Райнес,Муж,За экспериментальное обнаружение нейтрино,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D0%BD%D0%B5%D1%81,_%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA"
146,Дэвид Моррис Ли,Муж,За открытие сверхтекучести гелия-3,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B8,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4_%D0%9C%D0%BE%D1%80%D1%80%D0%B8%D1%81"
147,Дуглас Ошеров,Муж,За открытие сверхтекучести гелия-3,"https://ru.wikipedia.org/wiki/%D0%9E%D1%88%D0%B5%D1%80%D0%BE%D0%B2,_%D0%94%D1%83%D0%B3%D0%BB%D0%B0%D1%81"
148,Роберт Ричардсон,Муж,За открытие сверхтекучести гелия-3,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4%D1%81%D0%BE%D0%BD,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%9A%D0%BE%D0%BB%D0%BC%D0%B0%D0%BD"
149,Стивен Чу,Муж,За создание методов охлаждения и удержания атомов с помощью лазерного света,"https://ru.wikipedia.org/wiki/%D0%A7%D1%83,_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD"
150,Клод Коэн-Таннуджи,Муж,За создание методов охлаждения и удержания атомов с помощью лазерного света,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%8D%D0%BD-%D0%A2%D0%B0%D0%BD%D0%BD%D1%83%D0%B4%D0%B6%D0%B8,_%D0%9A%D0%BB%D0%BE%D0%B4"
151,Уильям Филлипс,Муж,За создание методов охлаждения и удержания атомов с помощью лазерного света,"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BB%D0%B8%D0%BF%D1%81,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC"
152,Роберт Лафлин,Муж,"За открытие новой формы квантовой жидкости с возбуждениями, имеющими дробный электрический заряд (квантовый эффект Холла)","https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%84%D0%BB%D0%B8%D0%BD,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82"
153,Хорст Штермер,Муж,"За открытие новой формы квантовой жидкости с возбуждениями, имеющими дробный электрический заряд (квантовый эффект Холла)","https://ru.wikipedia.org/wiki/%D0%A8%D1%82%D1%91%D1%80%D0%BC%D0%B5%D1%80,_%D0%A5%D0%BE%D1%80%D1%81%D1%82"
154,Дэниел Цуи,Муж,"За открытие новой формы квантовой жидкости с возбуждениями, имеющими дробный электрический заряд (квантовый эффект Холла)","https://ru.wikipedia.org/wiki/%D0%A6%D1%83%D0%B8,_%D0%94%D1%8D%D0%BD%D0%B8%D0%B5%D0%BB"
155,Герард Хофт,Муж,За прояснение квантовой структуры электрослабых взаимодействий,"https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D1%84%D1%82,_%D0%93%D0%B5%D1%80%D0%B0%D1%80%D0%B4"
156,Мартинус Велтман,Муж,За прояснение квантовой структуры электрослабых взаимодействий,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D1%82%D0%BC%D0%B0%D0%BD,_%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D1%83%D1%81"
157,Жорес Алфёров,Муж,"За разработку полупроводниковых гетероструктур, используемых в высокочастотных схемах и оптоэлектронике","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%84%D1%91%D1%80%D0%BE%D0%B2,_%D0%96%D0%BE%D1%80%D0%B5%D1%81_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
158,Герберт Крёмер,Муж,"За разработку полупроводниковых гетероструктур, используемых в высокочастотных схемах и оптоэлектронике","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%91%D0%BC%D0%B5%D1%80,_%D0%93%D0%B5%D1%80%D0%B1%D0%B5%D1%80%D1%82"
159,Джек Килби,Муж,За участие в изобретении интегральной схемы,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BB%D0%B1%D0%B8,_%D0%94%D0%B6%D0%B5%D0%BA"
